Place	State	Latitude	Longitude
Bridgeport 	AL	34.944425	-85.719003
Brighton 	AL	33.43885	-86.945474
Brilliant 	AL	34.016723	-87.77581
Brookside 	AL	33.631931	-86.914741
Brookwood 	AL	33.247178	-87.323908
Brundidge 	AL	31.718862	-85.815274
Butler 	AL	32.093844	-88.216721
Bynum 	AL	33.605546	-85.957464
Cahaba Heights 	AL	33.4596	-86.728199
Calera 	AL	33.101269	-86.753675
Camden 	AL	32.002958	-87.298274
Camp Hill 	AL	32.800119	-85.653335
Carbon Hill 	AL	33.895817	-87.525037
Cardiff 	AL	33.646128	-86.92896
Carolina 	AL	31.231348	-86.52065
Carrollton 	AL	33.261794	-88.095124
Castleberry 	AL	31.29978	-87.028508
Cedar Bluff 	AL	34.220512	-85.596037
Center Point 	AL	33.643133	-86.678764
Centre 	AL	34.153021	-85.671733
Centreville 	AL	32.95889	-87.132713
Chatom 	AL	31.469889	-88.25378
Chelsea 	AL	33.326283	-86.637432
Cherokee 	AL	34.756365	-87.966692
Chickasaw 	AL	30.77255	-88.084086
Childersburg 	AL	33.279405	-86.353329
Citronelle 	AL	31.096088	-88.249861
Clanton 	AL	32.840013	-86.624704
Clayhatchee 	AL	31.23757	-85.712745
Clayton 	AL	31.880663	-85.451167
Cleveland 	AL	33.994936	-86.570521
Clio 	AL	31.709276	-85.610549
Coffee Springs 	AL	31.166567	-85.909898
Coffeeville 	AL	31.764206	-88.088292
Collinsville 	AL	34.266551	-85.863044
Colony 	AL	33.941382	-86.901185
Columbia 	AL	31.297227	-85.109066
Columbiana 	AL	33.177005	-86.600822
Coosada 	AL	32.495833	-86.330192
Cordova 	AL	33.76065	-87.192757
Cottonwood 	AL	31.055584	-85.301372
County Line 	AL	33.820967	-86.722833
County Line 	AL	31.284426	-86.200746
Courtland 	AL	34.668861	-87.316645
Cowarts 	AL	31.199398	-85.30634
Creola 	AL	30.8969	-88.009802
Crossville 	AL	34.286278	-85.993551
Cuba 	AL	32.440602	-88.374257
Cullman 	AL	34.176059	-86.838934
Dadeville 	AL	32.831922	-85.765204
Daleville 	AL	31.300833	-85.716212
Daphne 	AL	30.626933	-87.897286
Dauphin Island 	AL	30.249243	-88.172996
Daviston 	AL	33.05513	-85.639208
Dayton 	AL	32.351726	-87.642865
Decatur 	AL	34.571833	-86.988166
